Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1567,"Dolores",12.6,51.4,-158.4,
1568,"Dolya Tessera",1100,-8,-64,
1569,"Domnika",6.7,18.4,-65.7,
1582,"Doris",14.5,2.3,90,
1584,"Dorothy",8.4,-35.4,11.3,
1627,"Dotetem Fluctus",530,-6,177.5,
1628,"Dou-Mu Tesserae",400,-60,-116,
1647,"Dröl-ma Tholus",40,24.2,6.3,
1648,"Dsonkwa Regio",1500,-53,167,
1649,"du Chatelet",18.5,21.5,165,
1656,"Dudumitsa Dorsa",980,-13.5,-2,
1661,"Duncan",40.3,68.1,-68.3,
1663,"Dunghe",5.5,-56.2,-64.7,
1666,"Dunne-Musun Corona",630,-60,85,
1671,"Durant",21.1,-62.3,-132.3,
1674,"Duse",30.4,-82.5,-2,
1677,"Dutrieu Patera",80,33.8,-161.5,
1679,"Dyamenyuo Corona",200,-57.5,42.5,
1680,"Dyan-Mu Dorsa",687,78.2,31.9,
1681,"Dyasya",7.8,5.1,-62.4,
1682,"Dylacha Dorsa",650,-19,76,
1686,"Dzalarhons Mons",120,0.5,34,
1688,"Dzerassa Planitia",2800,-15,-65,
1691,"Dziwica Chasma",1300,-16.5,-125,
1692,"Dzuzdi Corona",80,35.2,20.6,
1693,"Dzyzlan Vallis",250,-16,-178,
1698,"d'Este",21.6,-34.3,-121.1,
1704,"Earhart Corona",414,70.1,136.2,
1717,"Edda Corona",50,47.2,25.4,
1721,"Edgeworth",29,32.2,22.8,
1722,"Edinger",33.3,-68.8,-151.5,
1726,"Efimova",26.5,81,-137,
1730,"Egeria Farrum",40,43.6,7.5,
1731,"Egle Mons",110,-59,134,
1736,"Eigin Corona",200,-5,175,
1740,"Eila",9.5,-75,94.6,
1741,"Eileen",16.1,-22.8,-127.3,
1743,"Eingana Corona",375,5,-10,
1744,"Eini",5.9,-41.6,96.4,
1747,"Eistla Regio",8015,10.5,21.5,
1748,"Eithinoha Corona",500,-57,7.5,
1751,"Ekhe-Burkhan Corona",600,-50,40,
1761,"Elena",17.6,-18.3,73.4,
1762,"Elenora",4.5,47.1,6.9,
1766,"Eliot Patera",116,39.1,79,
1767,"Elizabeth",10.5,59.1,-144.6,
1768,"Ellen",14.6,-22.8,-78.7,
1773,"Elma",10.2,-10.1,91.1,
1786,"Elza",18,-34.4,-84.1,
1788,"Embla Coronae",132,28.9,-154.6,
1790,"Emegelji Coronae",225,-21.5,-146.5,
1791,"Emegen Corona",180,37.5,-69.5,
1792,"Emilia",12.5,-26.5,88.2,
1793,"Emma",11.8,-13.7,-57.7,
1800,"Enekeler Corona",350,-46,-96,
1802,"Enid",9.2,16.4,-7.9,
1808,"Enyo Fossae",700,-62,-9,
1812,"Eostre Mons",26,45.1,-30.9,
1818,"Epona Corona",225,-28,-151.5,
1823,"Ereshkigal Corona",320,21,84.5,
1828,"Erigone Corona",325,-34.5,-76,
1829,"Erika",10.5,72,175.4,
1830,"Erin",13.6,-47,-175.2,
1831,"Erinna",33.8,-78,-50.9,
