Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
14646,"Kipling",164,-19.37,72.02,
14647,"Debussy",81,-33.95,12.54,
14648,"Firdousi",98,3.47,65.32,
14649,"Copland",208,37.63,72.99,
14650,"Steichen",196,-12.79,77.04,
14653,"Rachmaninoff",305,27.66,57.37,
14796,"Solitudo Argiphontae",0,-10,25,
14797,"Pleias",0,15,-140,
14798,"Gallia",0,40,-120,
14928,"Stieglitz",100,72.54,67.63,
14953,"Ailey",23,45.58,177.92,
14954,"Aksakov",174,34.71,-78.74,
14955,"Balanchine",38,38.47,175.52,
14956,"Lismer",139.12,81.51,166.37,
14957,"Ellington",216,-12.88,26.1,
14958,"Faulkner",168,8.08,76.97,
14959,"Fonteyn",29,32.82,95.51,
14960,"Grainger",113,-44.09,104.81,
14961,"Grotell",48.25,71.09,-31.63,
14962,"Henri",163.8,79.68,152.98,
14963,"Holst",170,-17.42,44.96,
14964,"Kofi",136,56.75,117.87,
14965,"Magritte",149,-72.78,121.63,
14966,"Mendelssohn",291,70.31,102.32,
14967,"Nabokov",166,-14.56,55.76,
14968,"Nureyev",16,11.68,-173.13,
14969,"Pasch",37,46.12,134.75,
14970,"Petipa",12,11.54,21.05,
14971,"Rustaveli",200,52.41,82.74,
14972,"Seuss",64,7.65,33.16,
14973,"Sousa",138,46.69,0.63,
14974,"Stevenson",134,2.05,-143.88,
14975,"Warhol",91,-2.55,-6.27,
15020,"Egonu",25,67.15,61.48,
15021,"Gaudí",81,76.9,69.16,
15022,"Kandinsky",60,87.89,78.78,
15023,"Petronius",36,86.06,-40.51,
15024,"Prokofiev",112,85.77,62.92,
15025,"Tolkien",50,88.82,148.92,
15026,"Tryggvadóttir",31,89.55,-171.56,
15027,"Qiu Ying",20,82.67,-85.7,
15028,"Yoshikawa",30,81.21,106.03,
15033,"Chesterton",37.23,88.51,-126.9,
15078,"Catullus",100.2,21.9,-67.55,
15079,"Disney",113,-68.15,99.8,
15080,"Hopper",36,-12.44,-55.96,
15081,"Joplin",139,-38.56,25.51,
15082,"Kobro",54,-82.16,81.22,
15083,"Komeda",54,-82.74,90.47,
15084,"Kyōsai",39,25.15,4.86,
15085,"Popova",34,-34.72,-66.73,
15086,"Waters",15,-8.96,-105.45,
15097,"Alver",151.49,-66.97,77.25,
15098,"Donelaitis",85,-52.96,38.42,
15099,"Flaiano",43,-21.29,-76.73,
15100,"Hurley",67,-87.36,-6.99,
15101,"L’Engle",62,-86.63,69.62,
15102,"Lovecraft",51.97,-86.24,-73.82,
15103,"Pahinui",54,-28.16,146.79,
15104,"Petőfi",61,-83.55,119.35,
15105,"Roerich",111.67,-84.39,-58.94,
15106,"Arecibo Catena",139.79,-27.58,-28.29,
15107,"Goldstone Catena",102,-15.62,-32.02,
15108,"Haystack Catena",274,4.42,-46.48,
15110,"Angkor Vallis",94.96,57.28,114.04,
15111,"Cahokia Vallis",77,65.55,126.94,
15112,"Caral Vallis",64,62.66,129.29,
15113,"Paestum Vallis",96,60.28,126.04,
15114,"Timgad Vallis",116,60.88,116.44,
15127,"Alvin Rupes",188,8.3,151.28,
15128,"Belgica Rupes",425,-50.45,63.76,
15129,"Calypso Rupes",381,19.53,43.52,
15130,"Carnegie Rupes",267,58.52,-53.25,
15131,"Duyfken Rupes",518,-20.88,-131.93,
15132,"Eltanin Rupes",370,-74.99,90.6,
15133,"Enterprise Rupes",822.39,-36.54,76.54,
15134,"Nautilus Rupes",348,-28.23,66.67,
15135,"Palmer Rupes",274,-26.07,-106.28,
15136,"Terror Rupes",229.62,-72.06,84.31,
15137,"Duccio",132,58.23,-52.42,
15138,"Bechet",17.6,83.08,-93.66,
15139,"Damer",60,36.36,-115.81,
15140,"David",23,-17.66,67.87,
15141,"Erté",48.5,27.44,-117.33,
15142,"Larrocha",196,43.29,-69.83,
15143,"Laxness",25.89,83.27,-50.04,
15144,"Monk",12,66.08,63.81,
15145,"Rikyū",22.4,79.91,-22.74,
15146,"Varma",30,80.04,-18.97,
15148,"Fuller",26.97,82.63,-42.65,
15175,"Caravaggio",185,3.18,87.24,
15176,"Ruysch",64,-10.7,94.12,
15177,"Savage",93,-8.59,93.41,
15178,"Blossom Rupes",485.96,-3.04,89.85,
15185,"Barney",29,-11.69,59.71,
15186,"Berlioz",31.44,79.36,38.66,
15187,"Calder",24,3.51,12.75,
15188,"Capote",88,-21.1,72.41,
15189,"Caruso",31,-2.33,-76.36,
15190,"Ensor",24.81,82.35,-17.65,
15191,"Giambologna",69,-42.58,-124.11,
15192,"Lennon",95,-36.41,41.18,
15193,"Remarque",25.9,84.94,-6.46,
15194,"Vieira da Silva",274,1.54,-123.41,
15234,"La Dauphine Rupes",252,66.3,-26.62,
15235,"Paramour Rupes",616,-0.08,147.46,
15237,"Kuniyoshi",27,-57.87,-37.49,
15244,"Aneirin",467,-27.47,-2.68,
15245,"Hafiz",280,19.5,79.56,
15246,"Sanai",490,-13.37,-6.99,
15320,"Rivera",40,69.29,32.18,
15321,"Carolan",24.34,83.88,31.77,
15322,"Kulthum",31,50.72,93.53,
15323,"Enheduanna",105,48.34,-33.59,
15324,"Karsh",58,-35.49,78.85,
