Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1966,"Fischer",30.48,7.99,142.44,
1967,"Fitzgerald",104.21,26.67,-172.14,
1968,"Fizeau",107.08,-58.19,-134.11,
1970,"Flag",0.24,-8.97,15.45,
1972,"Flammarion",76.18,-3.33,-3.73,
1974,"Flamsteed",19.34,-4.49,-44.34,
1975,"Flank",0.04,-3.64,-17.44,
1979,"Fleming",126.37,14.91,109.28,
1984,"Florensky",69.03,25.45,131.85,
1988,"Focas",22.04,-33.7,-93.91,
1990,"Fontana",31.47,-16.04,-56.79,
1992,"Fontenelle",37.68,63.42,-18.96,
1999,"Foster",37.02,23.59,-141.49,
2001,"Foucault",25.08,50.46,-39.86,
2003,"Fourier",51.57,-30.31,-53.1,
2005,"Fowler",139.52,42.59,-145.27,
2006,"Fox",23.97,0.47,98.14,
2007,"Fra Mauro",96.76,-6.06,-16.97,
2008,"Fracastorius",120.58,-21.36,33.07,
2012,"Franck",11.91,22.59,35.56,
2014,"Franklin",55.92,38.73,47.64,
2015,"Franz",25.48,16.57,40.24,
2016,"Fraunhofer",57.75,-39.52,59.06,
2018,"Fredholm",13.39,18.37,46.55,
2022,"Freud",2.85,25.79,-52.4,
2023,"Freundlich",83.16,25,170.89,
2027,"Fridman (Friedmann)",101.45,-12.48,-126.88,
2030,"Froelich",56.73,80,-111.63,
2031,"Frost",78.3,37.41,-118.9,
2033,"Fryxell",17.62,-21.25,-101.65,
2043,"Furnerius",135.03,-36,60.54,
2045,"Fényi",43.31,-44.94,-105.06,
2046,"G. Bond",19.05,32.39,36.32,
2052,"Gadomski",65.66,36.21,-147.36,
2054,"Gagarin",261.83,-19.66,149.35,
2072,"Galen",9.18,21.95,4.96,
2074,"Galilaei",15.99,10.48,-62.83,
2079,"Galle",20.96,55.87,22.33,
2081,"Galois",231.97,-13.94,-152.99,
2083,"Galvani",76.83,49.51,-84.56,
